project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country
13208 KEEFER DR,Randall 3314 C Right New - 2 Story SFR CONDOMINUM w/ 3 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio FFE: 681.34 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 30-9 Actual Bld height: 30-9 required parking: 2.,2026-05-01,1,2,13208 KEEFER DR,78652,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694452,13208 KEEFER DRIVE,NA,Austin,Texas,United States
9405 CORVALLIS DR,Eastland S352 B Left New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-05-30,1,1,9405 CORVALLIS DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711583,9405 CORVALLIS DRIVE,NA,Austin,Texas,United States
17110 RADIANT DR,"New construction of 1 story SFR 4 beds 2 baths

PUD",2026-05-08,1,1,17110 RADIANT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13614971,17110 RADIANT DRIVE,NA,Austin,Texas,United States
8106 BIRD SONG CIR,New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (8104 and 8106 Bird Song) - Unit B,2026-04-29,1,2,8106 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694427,8106 BIRD SONG CIR,NA,Austin,Texas,United States
4115 AVENUE D,ePlan: Commercial Expedited Review - New Construction of FourPlex- Retroactive Permitting to work completed without permits (3585 SF),2026-05-28,4,2,4115 AVENUE D,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711280,4115 AVENUE D,NA,Austin,Texas,United States
7604 MULLEN DR,ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [5bed 4bath] with Attached Garage.,2026-05-08,1,1,7604 MULLEN DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688433,7604 MULLEN DRIVE,NA,Austin,Texas,United States
8019 ERMIS FARM RD,New 2-story single family dwelling condo 4 Bed/3.5 bath with attached garage and covered patio,2026-05-04,1,2,8019 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696939,8019 ERMIS FARM ROAD,NA,Austin,Texas,United States
4812 BRIDWELL LN,New single family residence with 4 bedrooms 3 bathrooms and attached garage and covered patio,2026-04-29,1,1,4812 BRIDWELL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13693217,4812 BRIDWELL LANE,NA,Austin,Texas,United States
8737 BIRMINGHAM DR,new construction - new 19x14 single story closed structure that will be on pier and beam foundation. electric is needed for outlets and lights as well as a mini split system.,2026-05-19,1,1,8737 BIRMINGHAM DR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704658,8737 BIRMINGHAM DRIVE,NA,Austin,Texas,United States
1704 MIRIAM AVE UNIT 1B,Unit 1B: New construction three-unit use duplex residential: Unit 1B: 3 bedroom 3 bath.,2026-05-20,1,2,1704 MIRIAM AVE UNIT 1B,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704072,1704 MIRIAM AVE UNIT 1B,NA,Austin,Texas,United States
4807 NATIVE PEARL LN,New single family residence - 2 story 3 bed/2.5 bath 2335 sqft living with attached garage,2026-06-02,1,2,4807 NATIVE PEARL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712252,4807 NATIVE PEARL LANE,NA,Austin,Texas,United States
6403 ROTUNDA VW,New 2 Story SFR 4 bed 3 bath 2 care garage alley access,2026-06-03,1,2,6403 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13714290,6403 ROTUNDA VW,NA,Austin,Texas,United States
1801 FAIR OAKS DR UNIT A,UNIT A: New 2-story 3 bedroom 2.5 bathroom duplex residence with attached carport covered front porch and rear covered patio.,2026-05-22,1,2,1801 FAIR OAKS DR UNIT A,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708683,1801 FAIR OAKS DRIVE UNIT A,NA,Austin,Texas,United States
1911 PASADENA DR,ePlan: Residential Expedited Review - New Construction of 2-Story Single Family Res [5bed 4.5bath] with Habitable Attic  and attached garage,2026-05-07,1,2,1911 PASADENA DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700012,1911 PASADENA DRIVE,NA,Austin,Texas,United States
605 E 55TH ST BLDG 2,"*Type 2 RESIDENTIAL AFFORDABLE HOUSING DEVELOPMENT BONUS PROGRAM* 
ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 1.5bath]. Bldg 2",2026-05-11,1,2,605 E 55TH ST BLDG 2,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700453,605 EAST 55TH STREET BLDG 2,NA,Austin,Texas,United States
